;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
2014-01-01 00:00:00;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 00:15:00;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 00:30:00;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 00:45:00;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;293.15;291.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 01:00:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 01:15:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 01:30:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 01:45:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 02:00:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
2014-01-01 02:15:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
